"building" "area" "month" "elec_Wh_per_m2" "heat_Wh_per_m2" "cluster"
20 2661 4 20.9 43.1 3
20 2661 5 19.3 15.1 3
20 2661 6 18.3 6.4 3
20 2661 7 13.2 5.7 2
20 2661 8 19.4 6.8 3
20 2661 9 18.1 16.2 3
20 2661 10 22.4 33 3
20 2661 11 21.7 41.1 3
21 8206 1 10.7 26.8 2
21 8206 2 10.9 22.2 2
21 8206 3 10.4 25.8 2
21 8206 4 11.2 14.2 2
21 8206 5 11.6 4.6 2
21 8206 6 11.8 1.7 2
21 8206 7 11.8 1.8 2
21 8206 8 11.6 1.8 2
21 8206 9 11 4.9 2
21 8206 10 11.4 12.5 2
21 8206 11 11 15 2
